Speaker,Time,Date,Duration,Trimmed Statement,Operator,Notes,Commander,Notes,"CONS/a: lethal autonomous weapon systems can demonstrate greater levels of effectiveness than a human operator in solving the objectives that were set and reduce any errors. In particular, such systems are capable to seriously reduce the negative consequences of the use of weapons in the context of IHL related to operator errors, the psychological and physical condition of the human being, moral, religious and ethical considerations",Notes,critical functions (target + engag*),Notes,consequence (attack),Notes,CTRL over laws,Notes,study or pre-research and development (require*),Notes,research and development (develop*),Notes,"Aquisition (testing and evaluation, validation and verification, and final legal review)",Notes,"Deployment phase (deploy/plan/standard operating procedure/ rules of engagement/target profile/"" train"")",Notes,"Use (activa, "" use"")",Notes,Post-Use,Notes,Life Cycle,Notes,parameters of use,Notes,environment,Notes,human-machine interaction,Notes
AUSTRALIA,12:26:51,0:00:00,0:03:51,"On bullet point 4, we do not consider it helpful to introduce the concept of human control here. It would be more fruitful to have to discuss human involvement and human machine interaction in the context of the application of IHL to laws and in risk mitigation measures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[01] Caveat,"we do not consider it helpful to introduce the concept of human control here [characterization, what functions of laws would be autonomous?] human involvement and human machine interaction in the context of the application of IHL to laws and in risk mitigation measures"
AUSTRALIA,15:36:42,0:00:00,0:06:33,"The controls needed will depend on the capabilities and limitations of the weapon system, the nature of the targets and the operational environment. We also consider that an appropriate level of human involvement across the life cycle of a weapon system will be required to ensure compliance with IHL. The specific type of human machine interaction that might be required will be highly context specific. [...] We have a comment to make on bullet point 3 which refers to human control involvement and supervision. Here we would reiterate our position that the appropriate degree of human involvement is context dependent. Very different controls and levels of human involvement would be required in a static environment with no civilians or civilian objects present as opposed to a cluttered dynamic environment where there is a risk of civilian harm. [...] Turning now to the bullet point which refers to the human operator being able to change the mode of operation including deactivation. Several Delegations in this GGE have put forward the idea that laws must be equipped with certain technical features for them to be compliant with IHL. We consider that certain features such as self-neutralization and self-deactivation may be necessary in some circumstances depending on the operational context and other control measures available such as the ability of a human operator to intervene, suspend or cancel an attack. We do not regard these features as being required by IHL in all circumstances.",[03] Direct use,"human operator being able to change the mode of operation including deactivation. Several Delegations in this GGE have put forward the idea that laws must be equipped with certain technical features for them to be compliant with IHL. We consider that certain features such as self-neutralization and self-deactivation may be necessary in some circumstances depending on the operational context and other control measures available such as the ability of a human operator to intervene, suspend or cancel an attack. We do not regard these features as being required by IHL in all circumstances.",,,,,[04] Support,"TGT: [deployment] The controls needed will depend on the capabilities and limitations of the weapon system, the nature of the targets and the operational environment.",[04] Support,"ATK: We consider that certain features such as self-neutralization and self-deactivation may be necessary in some circumstances depending on the operational context and other control measures available such as the ability of a human operator to intervene, suspend or cancel an attack.",,,,,,,,,,,[01] Caveat,"u/ACT: certain features such as self-neutralization and self-deactivation may be necessary in some circumstances depending on the operational context and other control measures available such as the ability of a human operator to intervene, suspend or cancel an attack. We do not regard these features as being required by IHL in all circumstances.",,,[04] Support,appropriate level of human involvement across the life cycle of a weapon system will be required to ensure compliance with IHL.,,,[04] Support,The controls needed will depend on [...] the operational environment. [...] Very different controls and levels of human involvement would be required in a static environment with no civilians or civilian objects present as opposed to a cluttered dynamic environment where there is a risk of civilian harm. ,[04] Support,to ensure compliance with IHL. The specific type of human machine interaction that might be required will be highly context specific.
UNITED KINGDOM,12:23:24,0:00:00,0:08:04,"Mr. Chair, in brief, the answer to the question does compliance with IHL depend on the use of laws in a specific context, the answer is yes. As we have said before, international humanitarian law is principle based and it looks at how a weapon is used and its effect and it applies to all weapon systems autonomous or not. Turning to the specific bullets, [...] [...] the third bullet which speaks to the nature of human machine interaction is a critical issue in relation to how the autonomous weapon system will be used in a lawful manner, rather a factor of lawfulness in itself. All of this speaks to context, so the first three of the bullets here need to be reframed in that regard. In relation to the third and fourth bullets where we see reference to life cycle in two of the options, the UK position is that context appropriate human involvement engages human involvement in a manner and at a point that is necessary to ensure the use of the autonomous weapon system complies with IHL. The life cycle is important to ensure that the commander can affect the necessary controls and constraints whether they be to the environment of use or the operation of the system itself. This is not just technological in nature. It cuts across technology development and testing, training and operationalization of systems, development of operating procedures, training of personnel involved in the use of laws, decisions made regarding where and when to use your laws and mechanisms for reporting and feeding back concerns regarding the use of those systems. Therefore, the UK would suggest bullet 3 and 4 could read context appropriate human involvement across the life cycle of the AWS is necessary to ensure that the use of AWS is in compliance with IHL. Bullet 5 is the critical bullet in relation to the types of considerations and constraints that might depending on context support the subjective, the objective of compliance with IHL. The UK would suggest further clarity is needed in focus of this further clarity is needed in focus of this bullet such as who or what are we referring to when we refer to the operator. Is this the state using the autonomous system or the person who is operating the system sitting at the controls? Or everyone across the chain of command involving decisions to deploy and use the laws. We note and agree with the ICRC's comments in this regard to clarify and broaden the application of the term operators. In relation to limitations on space and time of targets, duration of operation, geographic scope and scale of use, geographic and temporal constraints are indeed sensible. Limitation on target types are obvious but the risk of misidentification of entity or target type in terms of complex targets would need to be taken into account. The UK would expect the human operator to be able to limit and vary the behavior of the laws depending on the context of use. This might include geographic and temporal constraints, permissible behaviors and levels of autonomy.",[04] Support,"The UK would expect the human operator to be able to limit and vary the behavior of the laws depending on the context of use. This might include geographic and temporal constraints, permissible behaviors and levels of autonomy.",[04] Support,The life cycle is important to ensure that the commander can affect the necessary controls and constraints whether they be to the environment of use or the operation of the system itself. ,,,[04] Support,"TGT/ENG: We note and agree with the ICRC's comments in this regard to clarify and broaden the application of the term operators. In relation to limitations on space and time of targets, duration of operation, geographic scope and scale of use, geographic and temporal constraints are indeed sensible. Limitation on target types are obvious but the risk of misidentification of entity or target type in terms of complex targets would need to be taken into account. The UK would expect the human operator to be able to limit and vary the behavior of the laws depending on the context of use. This might include geographic and temporal constraints, permissible behaviors and levels of autonomy.",,,,,,,[04] Support,DEV: The life cycle is important to ensure that the commander can affect the necessary controls and constraints [...] It cuts across technology development [...],[04] Support,TES: The life cycle is important to ensure that the commander can affect the necessary controls and constraints whether they be to the environment of use or the operation of the system itself. This is not just technological in nature. It cuts across technology development and testing,[04] Support,"d/TRA/STDOP: The life cycle is important to ensure that the commander can affect the necessary controls and constraints [...]. It cuts across technology development and [...], development of operating procedures, training of personnel involved",[04] Support,Use/a: IHL depend on the use of laws in a specific context [...] international humanitarian law is principle based and it looks at how a weapon is used and its effect and it applies to all weapon systems autonomous or not. [...] context appropriate human involvement engages human involvement in a manner and at a point that is necessary to ensure the use of the autonomous weapon system complies with IHL. The life cycle is important to ensure that the commander can affect the necessary controls and constraints [...] of [...] the operation of the system itself. [...] suggest [...] context appropriate human involvement across the life cycle of the AWS is necessary to ensure that the use of AWS is in compliance with IHL.,,,[04] Support,"The life cycle is important to ensure that the commander can affect the necessary controls and constraints whether they be to the environment of use or the operation of the system itself. This is not just technological in nature. It cuts across technology development and testing, training and operationalization of systems, development of operating procedures, training of personnel involved in the use of laws, decisions made regarding where and when to use your laws and mechanisms for reporting and feeding back concerns regarding the use of those systems. Therefore, the UK would suggest bullet 3 and 4 could read context appropriate human involvement across the life cycle of the AWS is necessary to ensure that the use of AWS is in compliance with IHL.",,,[04] Support,The life cycle is important to ensure that the commander can affect the necessary controls and constraints whether they be to the environment of use or the operation of the system itself. ,[04] Support,"the nature of human machine interaction is a critical issue in relation to how the autonomous weapon system will be used in a lawful manner, rather a factor of lawfulness in itself. All of this speaks to context"
SWEDEN,11:33:09,0:00:00,0:04:36,"First, Sweden wishes to reiterate that we consider that preserving human control over the use of force is a key objective and measures to ensure that human control is maintained should be considered throughout the entire life cycle of a weapons system. Weapons systems may vary greatly depending on their characteristics, operational context, target, spatial and temporal limits. As such, the level of human machine interaction may also vary greatly and its limits must be taken into account. The specific measures required for human control will thus need to be context dependent and assessed on a case-by-case basis.",,,,,,,[04] Support,"TGT: Weapons systems may vary greatly depending on their [...] target [...] limits. As such, the level of human machine interaction may also vary greatly and its limits must be taken into account. The specific measures required for human control will thus need to be context dependent and assessed on a case-by-case basis.",,,,,,,,,,,,,[04] Support,Use/a: we consider that preserving human control over the use of force is a key objective and measures to ensure that human control is maintained should be considered throughout the entire life cycle of a weapons system,,,[04] Support,,,,,,[04] Support,the level of human machine interaction may also vary greatly and its limits must be taken into account. 
UNITED STATES,15:21:52,0:00:00,0:12:25,"With regard to the next bullet, human control involvement supervision, I think here we would note that we have already negotiated language on human machine interaction and a great deal of good consensus work has been done on that. As we stated before, the US Delegation does not support characterizing human control as a requirement of IHL. It is a means, it is one means, an important means, but not the only means that can enable compliance with IHL. Also see as a way out of some of this language, I wanted to appreciate the suggestion from Australian colleagues about the GGE already having reached consensus on the concept of operating systems within a responsible chain of human command and control. [...]",,,,,[04] Support,"the US Delegation does not support characterizing human control as a requirement of IHL. It is a means, it is one means, an important means, but not the only means that can enable compliance with IHL. Also see as a way out of some of this language, I wanted to appreciate the suggestion from Australian colleagues about the GGE already having reached consensus on the concept of operating systems within a responsible chain of human command and control",,,,,,,,,,,,,,,,,,,,"With regard to the next bullet, throughout the life cycle of laws, et cetera, I think the general comment we wanted to make here was a desire to move our conversation towards greater specificity and enabling more effective implementation of the various measures that will be a part of our instrument. We already have broad language about the importance of human machine interaction throughout the life cycle. Rather than renegotiating that guiding principle, we think we should be focusing on what requirements at particular stages of the life cycle can be taken or what practices can be taken at the various stages in support of the effective implementation of the legal requirements during use.",,,,,[04] Support,we have already negotiated language on human machine interaction and a great deal of good consensus work has been done on that. 
COSTA RICA,11:12:22,0:00:00,0:04:51,"Second, meaningful human control must be rated to all the whole life cycle of these weapons systems. To ensure compliance with applicable international law, weapons systems that operate detached from meaningful human control are de facto unlawful and ethically questionable. [...] The eight articles of the draft protocol develop the key elements that have become recurrent in our discussion on how to consolidate the regulation on AWS, characterization and with this section it deals with the notion on human machine interaction, meaningful human control and ethical considerations, responsibility and accountability.",,,,,,,,,,,,,,,[99] Something else,DEV: [developing norms] eight articles of the draft protocol develop the key elements,,,,,,,,,[04] Support,human control must be rated to all the whole life cycle,,,,,[04] Support,"The eight articles of the draft protocol develop the key elements that have become recurrent in our discussion on how to consolidate the regulation on AWS, characterization and with this section it deals with the notion on human machine interaction, meaningful human control and ethical considerations, responsibility and accountability."
ISRAEL,11:16:56,0:00:00,0:04:06,"Under IHL, the use of weapons systems that are not categorically prohibited under the existing rules applicable to the legality per se of weapons, which we referred to yesterday, would be governed by IHL rules that apply to the conduct of hostilities and in particular the targeting rules of IHL. [...] Therefore, there are three interdependent aspects for assessing the implementation of relevant IHL rules. First, the technical characteristics and capabilities of a weapons system. Second, the human element. And third, the operational context. To comprehensively assess the legalities of laws, it is crucial to consider all three aspects together. As mentioned by Australia, the human element or human involvement is integrated at various stages of the life cycle of weapons systems. Consideration of the three aspects needs to provide sufficient assurance that the employment of the weapons system would be in conformity with applicable law, rules of engagement and the intentions of its users. The appropriate degree of foreseeability and predictability of the weapons operation as well as the type and level of human machine interaction will be determined by the characteristics and capabilities of the particular system in question in view of the operational circumstances and the mission's requirements. In any event, as we stressed yesterday, aspects such as foreseeability and predictability as well as real-time human involvement in the system's operation are not in and of themselves IHL requirements but rather practical aspects which are relevant when assessing how to comply with IHL rules together with other factors. [...] To conclude, the components we deem appropriate for a case-by-case determination of a weapon system legality in its use encompass the particular weapon systems inherent characteristics and capabilities, the type and level of human input during the various stages of its life cycle and the operational context in which it is deployed.",,,,,,,[04] Support,"TGT/ENG: would be governed by IHL rules that apply to the conduct of hostilities and in particular the targeting rules of IHL. [...] Therefore, there are three interdependent aspects for assessing the implementation of relevant IHL rules. First, the technical characteristics and capabilities of a weapons system. Second, the human element. And third, the operational context.",,,,,[01] Caveat,"[IHL requirement]: In any event, as we stressed yesterday, aspects such as foreseeability and predictability as well as real-time human involvement in the system's operation are not in and of themselves IHL requirements but rather practical aspects which are relevant when assessing how to comply with IHL rules together with other factors.",,,,,[04] Support,"RULESOE: Consideration of the three aspects needs to provide sufficient assurance that the employment of the weapons system would be in conformity with applicable law, rules of engagement and the intentions of its users.",[99] Something else,Use: [legality of AWS],,,[01] Caveat,"the human element or human involvement is integrated at various stages of [doesn’t say all] the life cycle of weapons systems. [...] To conclude, the components we deem appropriate for a case-by-case determination of a weapon system legality in its use encompass the particular weapon systems inherent characteristics and capabilities, the type and level of human input during the various stages of its life cycle and the operational context in which it is deployed.",,,,,[04] Support,"Consideration of the three aspects [technical aspects, human involvement, and operational context] needs to provide sufficient assurance that the employment of the weapons system would be in conformity with applicable law, rules of engagement and the intentions of its users. [...] the type and level of human machine interaction will be determined by the characteristics and capabilities of the particular system in question in view of the operational circumstances and the mission's requirements. In any event, as we stressed yesterday, aspects such as foreseeability and predictability as well as real-time human involvement in the system's operation are not in and of themselves IHL requirements but rather practical aspects which are relevant when assessing how to comply with IHL rules together with other factors."
UNITED STATES,12:06:38,0:00:00,0:10:42,"We heard ideas like appropriate control being mentioned by Israeli colleagues or context appropriate human involvement that UK colleagues had mentioned. I think our perspective had generally been that in developing the elements of a potential instrument we need to be as specific and clear as possible. But I think we also appreciate where other Delegations are coming from, that they want to talk in more general terms. And one idea we would offer to the group to start to bridge some of these gaps is to recall guiding principle C which was developed after very lengthy negotiations in this group and after some I think terrific work by the Belgian Delegation in particular in leading our efforts on that guiding principle. And the basic idea in guiding principle C is that human machine interaction which may take various forms and be implemented at various stages of the life cycle of a weapon should ensure that the potential use of laws is in compliance with applicable international law in particular IHL in determining the quality and extent of human machine interaction a range of factors should be considered including the operational context and the characteristics and capabilities of the weapon system as a whole. And I think there is a lot of good language and ideas in guiding principle C and I think our suggestion is thinking about ways to elaborate and build upon guiding principle C rather than starting fresh.",,,,,,,,,,,,,,,[99] Something else,DEV: [developments in the GGE],,,,,[99] Something else,Use: [potential use/deployment] [guiding principle C] man machine interaction which may take various forms and be implemented at various stages of the life cycle of a weapon should ensure that the potential use of laws is in compliance with applicable international law in particular IHL,,,[01] Caveat,guiding principle C is that human machine interaction which may take various forms and be implemented at various stages of the life cycle [doesn't say all] of a weapon should ensure that the potential use of laws is in compliance with applicable international law in particular IHL in determining,,,,,[04] Support,the basic idea in guiding principle C is that human machine interaction which may take various forms and be implemented at various stages of the life cycle of a weapon should ensure that the potential use of laws is in compliance with applicable international law in particular IHL in determining the quality and extent of human machine interaction a range of factors should be considered including the operational context and the characteristics and capabilities of the weapon system as a whole. And I think there is a lot of good language and ideas in guiding principle C and I think our suggestion is thinking about ways to elaborate and build upon guiding principle C rather than starting fresh.
SWITZERLAND,10:51:21,0:00:00,0:11:56,"On the first sentence, the legality of laws depends on, we agree in principle, but would rather say that legality depends on compliance with the law and to do so, human control involvement alongside with other measures are necessary. Human control is not an absolute value, nor is it an abstract concept. Rather, human control is a specific tool and the specific type of control needed depends on situational factors. And this brings me to the first bullet, the operational context, the characteristics and capabilities of autonomous weapons as well as the anticipated targets all matter and influence the determination whether the use of an autonomous weapon in an attack complies with IHL. On the third bullet, point on human control, the starting point is that autonomous weapons must operate in compliance with international law and within a framework that ensures a sufficient degree of and a type of human control over the entire life cycle of a weapon system. This is vitally important because when using an autonomous weapon system, as with any weapon system, it is humans who must ensure legal conformity and in particular compliance with IHL under all circumstances. This is why the role of humans in the use of autonomous weapon systems has emerged as the central element in ensuring compliance with IHL. And moreover, we now have a shared understanding that certain degree of control over the use of force is not only necessary to comply with IHL but it is also important from an operational perspective and in terms of ethical accessibility. For a long time, we had quite intense discussions about terminology. We are of the view that last year we reached a point where differences in mere terminology carry less weight, whether we call it human machine interaction, human judgment, human involvement or whatever objective we put in front of human control. We think this is a good starting point to now shift discussions from terminology to concrete and operational concepts of control or involvement. What stands at the center is really the idea that humans must take measures at different stages in the life cycle of a weapon including in the engagement of autonomous weapon systems and understand their functioning in appropriate ways.",,,,,,,[04] Support,"TGT/ENG: control needed depends on situational factors. And this brings me to the first bullet, the operational context, the characteristics and capabilities of autonomous weapons as well as the anticipated targets all matter and influence the determination whether the use of an autonomous weapon in an attack complies with IHL [...] What stands at the center is really the idea that humans must take measures at different stages in the life cycle of a weapon including in the engagement of autonomous weapon systems and understand their functioning in appropriate ways.",[04] Support,"ATK: human control is a specific tool and the specific type of control needed depends on situational factors. And this brings me to the first bullet, the operational context, the characteristics and capabilities of autonomous weapons as well as the anticipated targets all matter and influence the determination whether the use of an autonomous weapon in an attack complies with IHL. ",,,,,,,,,,,[04] Support,"Use: on human control, the starting point is that autonomous weapons must operate in compliance with international law and within a framework that ensures a sufficient degree of and a type of human control over the entire life cycle of a weapon system. [...] This is why the role of humans in the use of autonomous weapon systems has emerged as the central element in ensuring compliance with IHL. And moreover, we now have a shared understanding that certain degree of control over the use of force is not only necessary to comply with IHL but it is also important from an operational perspective and in terms of ethical accessibility. ",,,[04] Support,,,,,,[04] Support,"We are of the view that last year we reached a point where differences in mere terminology carry less weight, whether we call it human machine interaction, human judgment, human involvement or whatever objective we put in front of human control. We think this is a good starting point to now shift discussions from terminology to concrete and operational concepts of control or involvement."
SIERRA LEONE,12:28:00,0:00:00,0:04:14,"Mr. Chair, Sierra Leone continues to advocate for a legally binding instrument to prohibit and regulate autonomous weapons system. There is a going call to finalize negotiation on a legally binding instrument to regulate autonomous weapons system including in joint appeal by the UN Secretary General and the ICRC President for States to negotiate a legally binding instrument by 2026 to prohibit autonomous weapons systems that functions in such a way that their effects cannot be predicted and those with the power and discretion to take lives without human involvement and to set a clear restriction for all those types of autonomous weapons systems. [...] It is our view that the new mandate should focus on incorporating elements of characterization with emphasis on human-machine interaction, meaningful human control, ethical consideration, prohibition, regulation, weapon review, risk mitigation and compliance.",,,,,,,,,,,,,,,,,,,,,,,[04] Support,EF: There is a going call [...] to prohibit [AWS] that functions in such a way that their effects cannot be predicted and those with the power and discretion to take lives without human involvement,,,,,,,[04] Support,"It is our view that the new mandate should focus on incorporating elements of characterization with emphasis on human-machine interaction, [...]."
