Speaker,Time,Date,Duration,Operator,Notes,Commander,Notes,Command and Control,Notes,Critical Functions,Notes,Consequence,Notes,AWS as a Whola,Notes,Study or pre-R&D,Notes,R&D,Notes,Aquisition,Notes,Deployment,Notes,Use,Notes,Post-Use,Notes,Life Cycle,Notes,Parameters of use,Notes,Environment,Notes,Human-Machine Interaction,Notes
CANADA,11:09:03,0:00:00,0:03:02,[99] Something else,"[characterization] intervention by a human operator, adding human could be a workable addition for my Delegation as it has a degree of clarity and this would need to be consistent throughout including human combatants, et cetera.",[03] Direct use,"We think this could be further explored as in theory a human might activate this autonomous weapon system in an environment where it can easily respect targeting rules, proportionality, the commander's intentions and other assigned requirements. ",,,[99] Something else,"TGT/e: [deployment] We think this could be further explored as in theory a human might activate this autonomous weapon system in an environment where it can easily respect targeting rules, proportionality, the commander's intentions and other assigned requirements.",,,,,[04] Support,"We think this could be further explored as in theory a human might activate this autonomous weapon system in an environment where it can easily respect targeting rules, proportionality, the commander's intentions and other assigned requirements",,,,,,,[99] Something else,Use/ACT: [characterization],,,,,,,[04] Support,"could be further explored as in theory a human might activate this autonomous weapon system in an environment where it can easily respect targeting rules, proportionality, the commander's intentions and other assigned requirements. ",,
UNITED STATES,11:08:49,0:00:00,0:08:49,[99] Something else,"[characterization] And that the definition would then capture that weapon system only if it operated without any involvement. So what we see is missing from the definition is where the person, the engagement of the operator, the engagement of the human being is taking place. I think the definition that you have been guiding us through is clear on that point",,,,,[99] Something else,"ENG/t: [binary moment] It is the point at which the weapon system ceases to operate with the involvement of the human operator that deployed and activated the system. And so I think we would agree that that point, that moment in time, that point in time is or it can be binary. I think there may be weapon systems that have an ability to continue to engage, but we are focused on those systems that have reached that point that they are no longer operating with the involvement of the operator. [...] And that the definition would then capture that weapon system only if it operated without any involvement. So what we see is missing from the definition is where the person, the engagement of the operator, the engagement of the human being is taking place. ",,,,,,,,,,,[99] Something else,"DEPLOY: [characterization] point at which the weapon system ceases to operate with the involvement of the human operator that deployed and activated the system. [...] It appears to posit that there is a weapon system that is out there. It is unclear how the weapon system got out there, who put the weapon system out there, how it was deployed",[99] Something else,"Use/ACT: [characterization] So what we see is missing from the definition is where the person, the engagement of the operator, the engagement of the human being is taking place. I think the definition that you have been guiding us through is clear on that point. The idea is that it is the operator that has decided to use the weapon, has decided to use it in a particular context, has activated the system that is being used ",,,[99] Something else,"he Russian definition, Chair, that you focused us on, that I now am looking at, I think one of the concerns that we have with this definition and maybe it is just a question for the Russian Federation to help us understand how they see this binary moment, if the Pakistani Delegation and the US Delegation are understanding it in the same way, where is that moment in their definition? It is a bit unclear to our Delegation and this really gets at the point that the Delegation of Australia just made about sort of where are we in the life cycle?",,,,,,
VENEZUELA (BOLIVARIAN REPUBLIC OF),17:49:38,0:00:00,0:02:51,[99] Something else,"[characterization] laws would mean those systems designed to select and apply force to targets without human intervention. Consequently, in the first paragraph, we would prefer the expression human intervention instead of human operator as set out by several Delegations, including the Cuban Delegation and others from Latin America.",,,,,[99] Something else,"TGT: [characterization] That instrument should adopt a functional based approach to address the general category of these weapons systems in their scope instead of focusing on their physical characteristics or design. The most reliable approach is that adopted in the Convention which focuses on preventing harmful or indiscriminate effects of these weapons. Thus, in the expression, the laws would mean those systems designed to select and apply force to targets without human intervention.",,,,,,,[04] Support,"DEV: we advocate for the inclusion of a total prohibition of the development, production and use of lethal autonomous weapons which operate without direct human meaningful control",,,[04] Support,"PLAN: vital to develop specific regulations which address emerging technologies when it comes to laws, including the planning, programming and the use of artificial intelligence to guarantee conformity with IHL and to respect human rights",[04] Support,"Use: we advocate for the inclusion of a total prohibition of the development, production and use of lethal autonomous weapons which operate without direct human meaningful control which are incapable of complying with IHL. [...] Furthermore, it is vital to develop specific regulations which address emerging technologies when it comes to laws, including the planning, programming and the use of artificial intelligence to guarantee conformity with IHL and to respect human rights.",[04] Support,EF: The most reliable approach is that adopted in the Convention which focuses on preventing harmful or indiscriminate effects of these weapons,,,,,,,,
AUSTRALIA,17:41:54,0:00:00,0:03:38,[99] Something else,[characterization] we suggest that intervention by a human operator is a more precise and useful formulation here than human involvement,,,,,[99] Something else,"TGT/ENG: [characterization] autonomous weapon systems to include those weapon systems that once activated can identify, select and engage targets with lethal force without further intervention by a human operator",,,,,,,,,,,,,[99] Something else,Use/ACT: [metadiscourse][characterization],,,,,,,,,,
PAKISTAN,16:20:24,0:00:00,0:05:17,[99] Something else,"[characterization] [...] in the first paragraph on the question of a human operator, we would just like to echo the remarks made by Ireland, a few others as well. We believe that an engaged target without further human intervention is a better",,,,,[99] Something else,TGT/ENG: [characterization] believe that an engaged target without further human intervention is a better term specifically because the use of word operator in the end is very narrow in the sense,,,,,,,,,,,,,[99] Something else,Use: [question the] word operator [...] is very narrow [...] and it also raises the question whether this definition will remain future proof as the technology evolves regarding the role of a possible operator in the use of weapon systems.,,,,,,,,,,
AUSTRALIA,16:46:13,0:00:00,0:04:49,[99] Something else,[characterization] engage a target without further intervention by a human operator,,,,,[99] Something else,TGT/ENG: characterized as a weapon system that after activation can select and engage a target without further intervention by a human operator,,,,,,,,,,,,,[01] Caveat,"u/ACT: [characterization] Chair, I turn now to the middle section of this text, para 2 in the current rolling text which states that the working definition does apply to weapon systems that require only nominal human input after activation, thus operating without context appropriate human involvement and judgment. We are not sure if this sentence fits logically in the working characterization, particularly to the extent it characterizes weapon systems that operate without context appropriate human involvement and judgment, which is more of a normative statement. We think this part of the text could potentially generate additional questions rather than clarify like other Delegations before us. We are also interested in how Delegations are interpreting nominal human input. [...]",,,,,,,,,,
GERMANY,15:44:59,0:00:00,0:02:12,[99] Something else,[characterization] laws are systems that operate outside human control and the responsible chain of command and select and engage the target without further intervention by a human operator,,,,,[99] Something else,"TGT/ENG: [characterization] As far as we understand it, the addition of nominal human input would contradict the first paragraph which clearly states that laws are systems that operate outside human control and the responsible chain of command and select and engage the target without further intervention by a human operator",,,,,,,,,[99] Something else,"VAL: [characterization] autonomous weapon systems to be systems that once activated are able to identify, select, track and apply force to targets while acting outside human control and the responsible chain of command. In addition, such systems do not allow for further human intervention and are capable of setting their own objectives or modifying the initial program or mission framework without the possibility of any human validation",,,[04] Support,ACT: [characterization] The addition of nominal input after activation would in our view best describe weapon systems with autonomous functions that as we described them allow human input after activation,,,,,,,,,,
RUSSIAN FEDERATION,10:42:04,0:00:00,0:22:08,[99] Something else,[characterization] autonomy and the understanding that a weapon system operates without any involvement of an operator can fully define the autonomy of such a weapon system.,,,,,,,,,,,,,,,,,,,[99] Something else,Use: [metadiscourse],,,,,,,,,,
AUSTRIA,15:52:59,0:00:00,0:04:27,[99] Something else,[characterization] We also would still prefer human intervention. I think intervention by human user is very new language. We had human intervention or some Delegation preferred by human operator,,,,,,,,,,,,,,,,,,,[99] Something else,Use/a: [metadiscourse],,,,,,,,,,
UNITED STATES,15:54:41,0:00:00,0:08:56,[99] Something else,[characterization] without further intervention by the human operator was the more clear and precise,,,,,[99] Something else,TGT/e: [characterization] And our concern is by putting a vagueness here we actually introduce a potential loophole where somebody could say well there was human intervention and therefore it is not a laws and I think the Australian colleague noted something which is certainly unintended which is the notion that somebody who is a victim or a target of the laws would therefore provide the human intervention and therefore I take it out of the definition. ,,,,,,,,,,,,,[99] Something else,Use: [user],,,,,,,,,,
